No,Country,State,District Name,Assembly Name,Reservation Category,Latitude,Longitude
1,India,Maharashtra,Nandurbar,AKKALKUWA,ST,21.560057,74.015695
2,India,Maharashtra,Nandurbar,SHAHADA,ST,21.531506,74.470444
3,India,Maharashtra,Nandurbar,NANDURBAR,ST,21.372314,74.242722
4,India,Maharashtra,Nandurbar,NAWAPUR,ST,21.16188,73.79497
5,India,Maharashtra,Dhule,SAKRI,ST,20.99389,74.31354
6,India,Maharashtra,Dhule,DHULE RURAL,,20.912006,74.691757
7,India,Maharashtra,Dhule,DHULE CITY,,20.90251,74.77735
8,India,Maharashtra,Dhule,SINDKHEDA,,21.27356,74.747
9,India,Maharashtra,Dhule,SHIRPUR,ST,21.3527715,74.8841836
10,India,Maharashtra,Jalgaon,CHOPDA,ST,,
11,India,Maharashtra,Jalgaon,RAVER,,,
12,India,Maharashtra,Jalgaon,BHUSAWAL,SC,,
13,India,Maharashtra,Jalgaon,JALGAON CITY,,,
14,India,Maharashtra,Jalgaon,JALGAON RURAL,,,
15,India,Maharashtra,Jalgaon,AMALNER,,,
16,India,Maharashtra,Jalgaon,ERANDOL,,,
17,India,Maharashtra,Jalgaon,CHALISGAON,,,
18,India,Maharashtra,Jalgaon,PACHORA,,,
19,India,Maharashtra,Jalgaon,JAMNER,,,
20,India,Maharashtra,Jalgaon,MUKTAINAGAR,,,
21,India,Maharashtra,Buldhana,MALKAPUR,,,
22,India,Maharashtra,Buldhana,BULDHANA,,,
23,India,Maharashtra,Buldhana,CHIKHLI,,,
24,India,Maharashtra,Buldhana,SINDKHED RAJA,,,
25,India,Maharashtra,Buldhana,MEHKAR,SC,,
26,India,Maharashtra,Buldhana,KHAMGAON,,,
27,India,Maharashtra,Buldhana,JALGAON (JAMOD),,,
28,India,Maharashtra,Akola,AKOT,,,
29,India,Maharashtra,Akola,BALAPUR,,,
30,India,Maharashtra,Akola,AKOLA WEST,,,
31,India,Maharashtra,Akola,AKOLA EAST,,,
32,India,Maharashtra,Akola,MURTIZAPUR,SC,,
33,India,Maharashtra,Washim,RISOD,,,
34,India,Maharashtra,Washim,WASHIM,SC,,
35,India,Maharashtra,Washim,KARANJA,,,
36,India,Maharashtra,Amravati,DHAMANGAON RAILWAY,,,
37,India,Maharashtra,Amravati,BADNERA,,,
38,India,Maharashtra,Amravati,AMRAVATI,,,
39,India,Maharashtra,Amravati,TEOSA,,,
40,India,Maharashtra,Amravati,DARYAPUR,SC,,
41,India,Maharashtra,Amravati,MELGHAT,ST,,
42,India,Maharashtra,Amravati,ACHALPUR,,,
43,India,Maharashtra,Amravati,MORSHI,,,
44,India,Maharashtra,Wardha,ARVI,,,
45,India,Maharashtra,Wardha,DEOLI,,,
46,India,Maharashtra,Wardha,HINGANGHAT,,,
47,India,Maharashtra,Wardha,WARDHA,,,
48,India,Maharashtra,Nagpur,KATOL,,,
49,India,Maharashtra,Nagpur,SAVNER,,,
50,India,Maharashtra,Nagpur,HINGNA,,,
51,India,Maharashtra,Nagpur,UMRED,SC,,
52,India,Maharashtra,Nagpur,NAGPUR SOUTH WEST,,,
53,India,Maharashtra,Nagpur,NAGPUR SOUTH,,,
54,India,Maharashtra,Nagpur,NAGPUR EAST,,,
55,India,Maharashtra,Nagpur,NAGPUR CENTRAL,,,
56,India,Maharashtra,Nagpur,NAGPUR WEST,,,
57,India,Maharashtra,Nagpur,NAGPUR NORTH,SC,,
58,India,Maharashtra,Nagpur,KAMTHI,,,
59,India,Maharashtra,Nagpur,RAMTEK,,,
60,India,Maharashtra,Bhandara,TUMSAR,,,
61,India,Maharashtra,Bhandara,BHANDARA,,,
