AC No,AC Name,Electors Male,Electors Female,Electors Other,Electors Total,Voters Male,Voters Female,Voters Other,Voters Total,Total Percentage
1,AKKALKUWA ,160114,159319,6,319439,115735,113132,4,228871,71.65%
2,SHAHADA ,175043,177588,5,352636,121951,121408,3,243362,69.01%
3,NANDURBAR ,176567,177212,2,353781,118826,118920,0,237746,67.20%
4,NAWAPUR ,142688,153098,0,295786,119107,120915,0,240022,81.15%
5,SAKRI ,186884,178516,7,365407,124149,115610,3,239762,65.62%
6,DHULE RURAL ,210743,198731,1,409475,148063,138390,1,286454,69.96%
7,DHULE CITY ,188529,175880,31,364440,113604,103948,12,217564,59.70%
8,SINDKHEDA ,173446,167562,0,341008,115441,108974,0,224415,65.81%
9,SHIRPUR ,177206,173779,11,350996,117463,113297,5,230765,65.75%
10,CHOPDA ,167801,163580,3,331384,112406,108242,2,220650,66.58%
11,RAVER ,158414,151120,2,309536,118100,110470,2,228572,73.84%
12,BHUSAWAL ,161842,154425,40,316307,94846,87825,12,182683,57.75%
13,JALGAON CITY ,223768,209665,34,433467,123991,114190,5,238186,54.95%
14,JALGAON RURAL ,172593,164789,4,337386,121492,112404,3,233899,69.33%
15,AMALNER ,157805,150464,3,308272,104066,98180,0,202246,65.61%
16,ERANDOL ,150581,142960,10,293551,104076,97770,5,201851,68.76%
17,CHALISGAON ,196514,178467,30,375011,120736,110524,9,231269,61.67%
18,PACHORA ,172061,161790,9,333860,118526,110846,5,229377,68.70%
19,JAMNER ,172232,163041,1,335274,122453,114081,0,236534,70.55%
20,MUKTAINAGAR ,155378,148678,8,304064,111113,103896,2,215011,70.71%
21,MALKAPUR ,150053,138326,6,288385,108328,96905,3,205236,71.17%
22,BULDHANA ,159452,147638,16,307106,100127,91480,5,191612,62.39%
23,CHIKHLI ,157170,148546,2,305718,113967,106356,0,220323,72.07%
24,SINDKHED RAJA ,168601,154393,1,322995,119018,107786,1,226805,70.22%
25,MEHKAR ,159378,146578,4,305960,110475,100538,3,211016,68.97%
26,KHAMGAON ,155632,142285,5,297922,120011,106595,1,226607,76.06%
27,JALGAON (JAMOD) ,159505,146905,4,306414,119161,106162,3,225326,73.54%
28,AKOT ,161306,149875,1,311182,114248,98442,0,212690,68.35%
29,BALAPUR ,159372,150828,2,310202,116212,102805,1,219018,70.60%
30,AKOLA WEST ,174618,176153,24,350795,104809,98531,7,203347,57.97%
31,AKOLA EAST ,180794,174375,15,355184,114590,104218,3,218811,61.60%
32,MURTIZAPUR ,158915,151611,5,310531,109898,96883,5,206786,66.59%
33,RISOD ,168662,155730,0,324392,119237,108992,0,228229,70.36%
34,WASHIM ,191127,177337,10,368474,127587,114237,8,241832,65.63%
35,KARANJA ,162069,154163,9,316241,108617,98285,5,206907,65.43%
36,DHAMANGAON RAILWAY ,160408,157446,2,317856,117222,104497,0,221719,69.75%
37,BADNERA ,183009,180771,45,363825,108465,101329,15,209809,57.67%
38,AMRAVATI ,188426,186005,27,374458,110997,100599,10,211606,56.51%
39,TEOSA ,151279,145213,3,296495,107458,93954,0,201412,67.93%
40,DARYAPUR ,158156,150286,3,308445,110688,95500,0,206188,66.85%
41,MELGHAT ,154586,147432,11,302029,114523,106386,4,220913,73.14%
42,ACHALPUR ,148947,143289,5,292241,112131,98482,1,210614,72.07%
43,MORSHI ,148870,142238,1,291109,109519,99100,0,208619,71.66%
44,ARVI ,133598,131820,2,265420,99821,90910,2,190733,71.86%
45,DEOLI ,138538,136070,0,274608,98849,90514,0,189363,68.96%
46,HINGANGHAT ,151538,146009,0,297547,111416,99458,0,210874,70.87%
47,WARDHA ,147411,147329,11,294751,99240,94337,8,193585,65.68%
48,KATOL ,142623,138738,6,281367,102278,94523,0,196801,69.94%
49,SAVNER ,161701,160114,2,321817,114559,106936,0,221495,68.83%
50,HINGNA ,232148,217964,29,450141,139235,130360,4,269599,59.89%
51,UMRED ,152695,148261,1,300957,111968,102060,0,214028,71.12%
52,NAGPUR SOUTH WEST ,202298,208914,29,411241,111099,113415,3,224517,54.59%
53,NAGPUR SOUTH ,193782,200635,8,394425,112135,112656,2,224793,56.99%
54,NAGPUR EAST ,210563,208386,32,418981,127017,121929,6,248952,59.42%
55,NAGPUR CENTRAL ,168107,173022,40,341169,100161,94888,11,195060,57.17%
56,NAGPUR WEST ,192075,196247,31,388353,108066,108549,10,216625,55.78%
57,NAGPUR NORTH ,212989,215752,104,428845,125755,123181,12,248948,58.05%
58,KAMTHI ,251369,250383,18,501770,164488,156895,2,321385,64.05%
59,RAMTEK ,143540,143389,2,286931,105915,100099,0,206014,71.80%
60,TUMSAR ,155410,154316,1,309727,116683,113014,1,229698,74.16%
61,BHANDARA ,187462,191202,3,378667,131548,126753,3,258304,68.21%
62,SAKOLI ,164102,164374,0,328476,117494,115145,0,232639,70.82%
63,ARJUNI MORGAON ,128970,129996,0,258966,90680,90606,0,181286,70.00%
64,TIRORA ,132906,138173,0,271079,87909,88842,0,176751,65.20%
65,GONDIYA ,158042,167505,9,325556,114347,117037,1,231385,71.07%
66,AMGAON ,133767,135731,1,269499,96836,98348,0,195184,72.42%
67,ARMORI ,131060,131710,1,262771,102720,99546,1,202267,76.97%
68,GADCHIROLI ,154610,152610,3,307223,116704,113469,1,230174,74.92%
69,AHERI ,126481,124974,6,251461,95511,90281,3,185795,73.89%
70,RAJURA ,167895,157381,2,325278,123591,112919,2,236512,72.71%
71,CHANDRAPUR ,188724,185168,35,373927,111925,104759,8,216692,57.95%
72,BALLARPUR ,158628,153720,7,312355,111806,106167,5,217978,69.79%
73,BRAHMAPURI ,137752,137914,0,275666,112156,109874,0,222030,80.54%
74,CHIMUR ,141153,139674,0,280827,117144,112989,0,230133,81.95%
75,WARORA ,144963,137082,4,282049,102548,93841,2,196391,69.63%
76,WANI ,146332,139693,0,286025,116191,103696,0,219887,76.88%
77,RALEGAON ,145829,142186,0,288015,111389,101905,0,213294,74.06%
78,YAVATMAL ,187529,183716,34,371279,122266,113854,11,236131,63.60%
79,DIGRAS ,177570,168286,13,345869,137684,124173,10,261867,75.71%
80,ARNI ,164129,157890,4,322023,122297,111726,2,234025,72.67%
81,PUSAD ,165539,156280,7,321826,109660,102294,6,211960,65.86%
82,UMARKHED ,163470,153661,3,317134,114215,104438,1,218654,68.95%
83,KINWAT ,142273,136381,11,278665,104154,96342,3,200499,71.95%
84,HADGAON ,154892,144190,4,299086,113105,101546,2,214653,71.77%
85,BHOKAR ,154478,148614,11,303103,120123,111239,3,231365,76.33%
86,NANDED NORTH ,183858,174957,103,358918,113522,103978,15,217515,60.60%
87,NANDED SOUTH ,161902,154914,5,316821,106399,96331,2,202732,63.99%
88,LOHA ,154966,146681,3,301650,117651,109183,3,226837,75.20%
89,NAIGAON ,158794,151571,10,310375,119642,110114,1,229757,74.03%
90,DEGLUR ,159517,152703,17,312237,102289,95111,8,197408,63.22%
91,MUKHED ,159685,147399,8,307092,111875,103524,2,215401,70.14%
92,BASMATH ,164931,155828,6,320765,126818,113917,2,240737,75.05%
93,KALAMNURI ,171937,158747,2,330686,128771,114718,1,243490,73.63%
94,HINGOLI ,173525,159786,2,333313,119750,107450,2,227202,68.16%
95,JINTUR ,200262,188022,10,388294,154418,138209,7,292634,75.36%
96,PARBHANI ,178808,171740,11,350559,120174,110243,7,230424,65.73%
97,GANGAKHED ,218120,203147,5,421272,162086,145597,0,307683,73.04%
98,PATHRI ,203045,190197,2,393244,147146,131958,0,279104,70.97%
99,PARTUR ,167948,155187,1,323136,119666,106928,0,226594,70.12%
100,GHANSAWANGI ,171281,159009,1,330291,134743,120120,0,254863,77.16%
101,JALNA ,180629,163587,36,344252,117094,104578,9,221681,64.39%
102,BADNAPUR ,173276,159817,4,333097,131926,116952,3,248881,74.72%
103,BHOKARDAN ,167169,154566,0,321735,130964,117924,0,248888,77.36%
104,SILLOD ,186594,171388,3,357985,150585,136095,2,286682,80.08%
105,KANNAD ,174138,158592,8,332738,122519,108099,4,230622,69.31%
106,PHULAMBRI ,192858,177840,5,370703,141528,126176,2,267706,72.22%
107,AURANGABAD CENTRAL ,188306,180654,10,368970,114983,103978,5,218966,59.35%
108,AURANGABAD WEST ,212495,194525,77,407097,130017,116606,15,246638,60.58%
109,AURANGABAD EAST ,183530,171089,14,354633,114104,100921,4,215029,60.63%
110,PAITHAN ,169239,156109,5,325353,133964,118273,0,252237,77.53%
111,GANGAPUR ,189539,175209,22,364770,141730,127337,8,269075,73.77%
112,VAIJAPUR ,166487,154015,0,320502,129187,114192,0,243379,75.94%
113,NANDGAON ,178600,164452,4,343056,128344,114396,4,242744,70.76%
114,MALEGAON CENTRAL ,176033,166670,10,342713,126121,113379,1,239501,69.88%
115,MALEGAON OUTER ,198191,182376,9,380576,135034,122808,1,257843,67.75%
116,BAGLAN ,155308,143808,2,299118,107530,96333,0,203863,68.15%
117,KALWAN ,152637,149359,0,301996,123136,113709,0,236845,78.43%
118,CHANDVAD ,160432,148376,0,308808,126473,111079,0,237552,76.93%
119,YEVLA ,169284,157335,4,326623,132419,116781,0,249200,76.30%
120,SINNAR ,168459,155005,0,323464,129181,112934,0,242115,74.85%
121,NIPHAD ,152390,146475,3,298868,115848,105661,0,221509,74.12%
122,DINDORI ,168193,160936,7,329136,135138,121766,1,256905,78.05%
123,NASHIK EAST ,210066,199161,12,409239,124075,115870,6,239951,58.63%
124,NASHIK CENTRAL ,175140,170196,57,345393,102918,96266,29,199213,57.68%
125,NASHIK WEST ,257402,226087,6,483495,147382,126823,3,274208,56.71%
126,DEOLALI ,148900,139239,2,288141,96175,86489,1,182665,63.39%
127,IGATPURI ,143061,137493,5,280559,111607,102535,2,214144,76.33%
128,DAHANU ,149627,151578,34,301239,107104,113808,7,220919,73.34%
129,VIKRAMGAD ,158188,159552,1,317741,124390,123290,0,247680,77.95%
130,PALGHAR ,149090,149468,21,298579,108153,105556,11,213720,71.58%
131,BOISAR ,222264,189022,43,411329,148799,128821,14,277634,67.50%
132,NALASOPARA ,326522,281884,120,608526,186979,162093,38,349110,57.37%
133,VASAI ,181898,172742,12,354652,111663,106393,2,218058,61.49%
134,BHIWANDI RURAL ,174090,163610,11,337711,126298,114192,2,240492,71.21%
135,SHAHAPUR ,147935,143122,0,291057,108019,97391,0,205410,70.57%
136,BHIWANDI WEST ,189953,143926,158,334037,100607,81058,17,181682,54.39%
137,BHIWANDI EAST ,215050,158407,188,373645,105504,85566,27,191097,51.14%
138,KALYAN WEST ,231139,209443,15,440597,129345,113658,6,243009,55.15%
139,MURBAD ,242249,227773,18,470040,166019,150745,1,316765,67.39%
140,AMBERNATH ,199272,175333,59,374664,97911,85605,17,183533,48.99%
141,ULHASNAGAR ,151378,131898,103,283379,83116,71638,26,154780,54.62%
142,KALYAN EAST ,172054,156700,419,329173,101574,91123,56,192753,58.56%
143,DOMBIVALI ,160298,152824,0,313122,91858,84088,0,175946,56.19%
144,KALYAN RURAL ,275285,234832,130,510247,158709,136152,33,294894,57.79%
145,MIRA BHAYANDAR ,267785,243072,5,510862,137771,126583,0,264354,51.75%
146,OVALA - MAJIWADA ,290137,254949,24,545110,151757,134064,5,285826,52.43%
147,KOPRI - PACHPAKHADI ,180516,158989,21,339526,107020,96176,10,203206,59.85%
148,THANE ,194958,183242,7,378207,119303,111451,0,230754,61.01%
149,MUMBRA - KALWA ,255410,229808,106,485324,132879,120191,25,253095,52.15%
150,AIROLI ,272504,216423,132,489059,142501,121581,45,264127,54.01%
151,BELAPUR ,225029,198531,19,423579,123320,110711,3,234034,55.25%
152,BORIVALI ,165268,160464,2,325734,104351,98633,1,202985,62.32%
153,DAHISAR ,147467,130399,49,277915,85613,76481,11,162105,58.33%
154,MAGATHANE ,164763,139862,2,304627,96840,83968,1,180809,59.35%
155,MULUND ,151298,145367,22,296687,93971,88253,14,182238,61.42%
156,VIKHROLI ,127334,116200,1,243535,73957,66337,1,140295,57.61%
157,BHANDUP WEST ,155239,133015,32,288286,98196,83071,12,181279,62.88%
158,JOGESHWARI EAST ,157391,141614,10,299015,93122,83761,7,176890,59.16%
159,DINDOSHI ,173540,132938,24,306502,98789,78208,12,177009,57.75%
160,KANDIVALI EAST ,156580,130313,5,286898,85531,71601,2,157134,54.77%
161,CHARKOP ,171006,146392,18,317416,98597,84733,7,183337,57.76%
162,MALAD WEST ,188490,169084,345,357919,102741,93662,62,196465,54.89%
163,GOREGAON ,177783,151416,13,329212,98256,84813,3,183072,55.61%
164,VERSOVA ,153932,132776,3,286711,78790,68697,0,147487,51.44%
165,ANDHERI WEST ,148846,139272,7,288125,79692,74942,2,154636,53.67%
166,ANDHERI EAST ,153814,134335,1,288150,89269,78652,0,167921,58.28%
167,VILE PARLE ,142655,132670,0,275325,81161,75704,0,156865,56.97%
168,CHANDIVALI ,253526,199458,19,453003,131202,108532,5,239739,52.92%
169,GHATKOPAR WEST ,147823,129589,120,277532,88755,77698,46,166499,59.99%
170,GHATKOPAR EAST ,130072,119445,22,249539,77586,71086,11,148683,59.58%
171,MANKHURD SHIVAJI NAGAR ,187192,146898,46,334136,95447,78747,17,174211,52.14%
172,ANUSHAKTI NAGAR ,143844,125194,31,269069,75656,69727,23,145406,54.04%
173,CHEMBUR ,135131,123806,10,258947,73956,68376,6,142338,54.97%
174,KURLA ,157481,134734,13,292228,82948,72365,6,155319,53.15%
175,KALINA ,129157,112568,12,241737,67723,59623,10,127356,52.68%
